Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2006,1,11,3,743,745,1024,1018,US,343,N657AW,281,273,223,6,-2,ATL,PHX,1587,45,13,0,,0,0,0,0,0,0
2006,1,11,3,1053,1053,1313,1318,US,613,N834AW,260,265,214,-5,0,ATL,PHX,1587,27,19,0,,0,0,0,0,0,0
2006,1,11,3,1915,1915,2110,2133,US,617,N605AW,235,258,220,-23,0,ATL,PHX,1587,4,11,0,,0,0,0,0,0,0
2006,1,11,3,1753,1755,1925,1933,US,300,N312AW,152,158,126,-8,-2,AUS,PHX,872,16,10,0,,0,0,0,0,0,0
2006,1,11,3,824,832,1015,1015,US,765,N309AW,171,163,132,0,-8,AUS,PHX,872,27,12,0,,0,0,0,0,0,0
2006,1,11,3,627,630,834,832,US,295,N733UW,127,122,108,2,-3,BDL,CLT,644,6,13,0,,0,0,0,0,0,0
2006,1,11,3,825,820,1041,1021,US,349,N177UW,136,121,111,20,5,BDL,CLT,644,4,21,0,,0,0,0,20,0,0
2006,1,11,3,942,945,1155,1148,US,356,N404US,133,123,121,7,-3,BDL,CLT,644,4,8,0,,0,0,0,0,0,0
2006,1,11,3,1239,1245,1438,1445,US,775,N722UW,119,120,103,-7,-6,BDL,CLT,644,4,12,0,,0,0,0,0,0,0
2006,1,11,3,1642,1645,1841,1845,US,1002,N104UW,119,120,105,-4,-3,BDL,CLT,644,4,10,0,,0,0,0,0,0,0
2006,1,11,3,1836,1835,NA,2035,US,1103,N425US,NA,120,NA,NA,1,BDL,CLT,644,0,17,0,,1,0,0,0,0,0
2006,1,11,3,NA,1725,NA,1845,US,69,0,NA,80,NA,NA,NA,BDL,DCA,313,0,0,1,A,0,0,0,0,0,0
2006,1,11,3,613,620,738,743,US,1159,N162UW,85,83,69,-5,-7,BDL,DCA,313,4,12,0,,0,0,0,0,0,0
2006,1,11,3,1125,1125,1242,1245,US,1249,N782AU,77,80,68,-3,0,BDL,DCA,313,3,6,0,,0,0,0,0,0,0
2006,1,11,3,2045,2045,2205,2200,US,1680,N814MD,80,75,58,5,0,BDL,DCA,313,14,8,0,,0,0,0,0,0,0
2006,1,11,3,1342,1340,1509,1455,US,1681,N808MD,87,75,73,14,2,BDL,DCA,313,4,10,0,,0,0,0,0,0,0
2006,1,11,3,1752,1540,1923,1654,US,127,N105UW,91,74,69,149,132,BDL,PHL,196,3,19,0,,0,0,0,149,0,0
2007,1,1,1,1232,1225,1341,1340,WN,2891,N351,69,75,54,1,7,SMF,ONT,389,4,11,0,,0,0,0,0,0,0
2007,1,1,1,1918,1905,2043,2035,WN,462,N370,85,90,74,8,13,SMF,PDX,479,5,6,0,,0,0,0,0,0,0
2007,1,1,1,2206,2130,2334,2300,WN,1229,N685,88,90,73,34,36,SMF,PDX,479,6,9,0,,0,3,0,0,0,31
2007,1,1,1,1230,1200,1356,1330,WN,1355,N364,86,90,75,26,30,SMF,PDX,479,3,8,0,,0,23,0,0,0,3
2007,1,1,1,1042,1040,1158,1205,WN,1554,N316SW,76,85,66,-7,2,SMF,SAN,480,2,8,0,,0,0,0,0,0,0
2007,1,1,1,1726,1725,1839,1850,WN,1604,N691WN,73,85,63,-11,1,SMF,SAN,480,3,7,0,,0,0,0,0,0,0
2007,1,1,1,1849,1820,2016,1940,WN,1975,N308SW,87,80,69,36,29,SMF,SAN,480,3,15,0,,0,20,0,7,0,9
2007,1,1,1,2219,2105,2332,2225,WN,2083,N205,73,80,62,67,74,SMF,SAN,480,3,8,0,,0,0,0,0,0,67
2007,1,1,1,2012,1940,2131,2105,WN,2577,N603SW,79,85,66,26,32,SMF,SAN,480,3,10,0,,0,9,0,0,0,17
2007,1,1,1,1458,1455,1614,1620,WN,2587,N604SW,76,85,65,-6,3,SMF,SAN,480,2,9,0,,0,0,0,0,0,0
2007,1,1,1,1345,1345,1456,1510,WN,2643,N700GS,71,85,62,-14,0,SMF,SAN,480,2,7,0,,0,0,0,0,0,0
2007,1,1,1,715,720,836,845,WN,2755,N355,81,85,65,-9,-5,SMF,SAN,480,2,14,0,,0,0,0,0,0,0
2007,1,1,1,2119,2100,2310,2250,WN,961,N771,111,110,94,20,19,SMF,SEA,605,9,8,0,,0,19,0,1,0,0
2007,1,1,1,1530,1510,1714,1700,WN,1330,N469,104,110,91,14,20,SMF,SEA,605,5,8,0,,0,0,0,0,0,0
2007,1,1,1,1045,1035,1240,1225,WN,1502,N327,115,110,104,15,10,SMF,SEA,605,5,6,0,,0,6,0,5,0,4
2007,1,1,1,802,800,953,955,WN,2403,N304SW,111,115,98,-2,2,SMF,SEA,605,5,8,0,,0,0,0,0,0,0
2007,1,1,1,1415,1405,1529,1525,WN,976,N204,74,80,64,4,10,SMF,SNA,404,4,6,0,,0,0,0,0,0,0
2007,1,1,1,1630,1630,1746,1750,WN,1146,N707SA,76,80,60,-4,0,SMF,SNA,404,6,10,0,,0,0,0,0,0,0
2007,1,1,1,1527,1525,1637,1645,WN,1240,N718SW,70,80,60,-8,2,SMF,SNA,404,4,6,0,,0,0,0,0,0,0
2007,1,1,1,731,735,844,900,WN,1488,N465,73,85,60,-16,-4,SMF,SNA,404,5,8,0,,0,0,0,0,0,0
2007,1,1,1,1140,1140,1253,1300,WN,1596,N725,73,80,61,-7,0,SMF,SNA,404,6,6,0,,0,0,0,0,0,0
2007,1,1,1,2002,1935,2115,2055,WN,1784,N711HK,73,80,61,20,27,SMF,SNA,404,2,10,0,,0,19,0,0,0,1
2007,1,1,1,946,950,1100,1115,WN,2806,N781,74,85,60,-15,-4,SMF,SNA,404,3,11,0,,0,0,0,0,0,0
2007,1,1,1,1501,1455,1604,1555,WN,795,N781,63,60,46,9,6,SNA,LAS,226,7,10,0,,0,0,0,0,0,0
2007,1,1,1,1233,1155,1342,1300,WN,851,N479,69,65,47,42,38,SNA,LAS,226,15,7,0,,0,0,0,4,0,38
2007,1,1,1,NA,2030,NA,2135,WN,2734,0,NA,65,NA,NA,NA,SNA,LAS,226,0,0,1,A,0,0,0,0,0,0
2007,1,1,1,2057,1815,2205,1920,WN,2782,N781,68,65,50,165,162,SNA,LAS,226,4,14,0,,0,162,0,3,0,0
2007,1,1,1,810,810,1347,1405,WN,873,N774,217,235,205,-18,0,SNA,MDW,1731,4,8,0,,0,0,0,0,0,0
2007,1,1,1,1035,1035,1154,1155,WN,1184,N767,79,80,68,-1,0,SNA,OAK,371,5,6,0,,0,0,0,0,0,0
2007,1,1,1,1714,1715,1835,1835,WN,1737,N718SW,81,80,63,0,-1,SNA,OAK,371,13,5,0,,0,0,0,0,0,0
2007,1,1,1,1811,1805,1925,1925,WN,2217,N247,74,80,64,0,6,SNA,OAK,371,5,5,0,,0,0,0,0,0,0
2007,1,1,1,1946,1920,2110,2045,WN,2347,N204,84,85,67,25,26,SNA,OAK,371,5,12,0,,0,10,0,0,0,15
2007,1,1,1,2154,2115,2308,2235,WN,2449,N711HK,74,80,63,33,39,SNA,OAK,371,5,6,0,,0,16,0,0,0,17
2007,1,1,1,1600,1550,1718,1710,WN,2450,N204,78,80,68,8,10,SNA,OAK,371,4,6,0,,0,0,0,0,0,0
2007,1,1,1,1325,1325,1443,1445,WN,2786,N725,78,80,65,-2,0,SNA,OAK,371,4,9,0,,0,0,0,0,0,0
2007,1,1,1,2052,2005,2214,2130,WN,2790,N774,82,85,65,44,47,SNA,OAK,371,8,9,0,,0,16,0,0,0,28
2007,1,1,1,905,905,1024,1025,WN,2992,N448,79,80,69,-1,0,SNA,OAK,371,4,6,0,,0,0,0,0,0,0
2007,1,1,1,1737,1645,1946,1855,WN,212,N663SW,69,70,55,51,52,SNA,PHX,338,6,8,0,,0,20,0,0,0,31
2007,1,1,1,1101,1100,1307,1315,WN,324,N765,66,75,54,-8,1,SNA,PHX,338,5,7,0,,0,0,0,0,0,0
2007,1,1,1,1402,1350,1610,1600,WN,466,N467,68,70,47,10,12,SNA,PHX,338,13,8,0,,0,0,0,0,0,0
2007,1,1,1,921,925,1119,1140,WN,1488,N465,58,75,49,-21,-4,SNA,PHX,338,4,5,0,,0,0,0,0,0,0
2008,1,3,4,2003,1955,2211,2225,WN,335,N712SW,128,150,116,-14,8,IAD,TPA,810,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,754,735,1002,1000,WN,3231,N772SW,128,145,113,2,19,IAD,TPA,810,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,628,620,804,750,WN,448,N428WN,96,90,76,14,8,IND,BWI,515,3,17,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,926,930,1054,1100,WN,1746,N612SW,88,90,78,-6,-4,IND,BWI,515,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1829,1755,1959,1925,WN,3920,N464WN,90,90,77,34,34,IND,BWI,515,3,10,0,,0,2,0,0,0,32
2008,1,3,4,1940,1915,2121,2110,WN,378,N726SW,101,115,87,11,25,IND,JAX,688,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1937,1830,2037,1940,WN,509,N763SW,240,250,230,57,67,IND,LAS,1591,3,7,0,,0,10,0,0,0,47
